,timestamp,event_type,event_id,source_ticket_id,assignment_group,similar_ticket_id,similar_ticket_ids,rank,client_ip,client_id,undo
10,2023-02-16 08:59:39,dislike,8bc449b1-aa91-4d55-85d2-d37598896abc,INC49193402,,INC38223349,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",1.0,,2a76050e-a26e-46af-97b3-205958f048ee,
11,2023-02-16 08:59:41,like,4529ee5a-aa4a-4363-aaea-3713bc3bd746,INC49193402,,INC38223349,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",1.0,,2a76050e-a26e-46af-97b3-205958f048ee,
12,2023-02-16 08:59:42,like,09299aec-6381-49f8-ab1e-620d84ebe74a,INC49193402,,INC33293345,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",2.0,,2a76050e-a26e-46af-97b3-205958f048ee,
13,2023-02-16 08:59:42,dislike,4ec90803-5798-421f-8c55-f4b98e289776,INC49193402,,INC49193399,"['INC38223349', 'INC33293345', 'INC49193399', 'INC34487703', 'INC32958541']",3.0,,2a76050e-a26e-46af-97b3-205958f048ee,
14,2023-02-16 09:36:12,view-incident-results,b4acb2ea-ad3c-40c6-942e-6a744774b8a4,INC49531807,,,"['INC44342134', 'INC37502393', 'INC43006159', 'INC35492311', 'INC43626740']",,,8e990ec0-6efb-4731-8848-69e9660cb81e,
15,2023-02-16 09:38:54,view-similar-incident,2020546f-373c-46ac-af9f-4bc6f8bc8d3c,INC49531807,,INC44342134,"['INC44342134', 'INC37502393', 'INC43006159', 'INC35492311', 'INC43626740']",1.0,,8e990ec0-6efb-4731-8848-69e9660cb81e,
16,2023-02-16 09:40:05,view-incident-results,5bca84d5-7888-431e-8f8d-4ee8a82238f3,INC48373063,,,"['INC48084963', 'INC48134223', 'INC49193956', 'INC45777376', 'INC46498939']",,,7d57e7a1-8e37-432d-8248-8ea5dd6cf278,
17,2023-02-16 09:40:46,view-incident-results,c666c716-878f-4d26-91b0-028ecf84601c,INC48997284,,,"['INC48900053', 'INC39323947', 'INC37981142', 'INC46547820', 'INC47988170']",,,7d57e7a1-8e37-432d-8248-8ea5dd6cf278,
18,2023-02-16 09:41:10,view-incident-results,72ade212-2095-46d2-b507-b7976d8d00e0,INC48997925,,,"['INC36591137', 'INC35109485', 'INC46449821', 'INC38127288', 'INC37549849']",,,7d57e7a1-8e37-432d-8248-8ea5dd6cf278,
19,2023-02-16 09:42:08,view-incident-results,e23c57e7-c6de-44da-83ee-7a67601d25c3,INC48373063,,,"['INC48084963', 'INC48134223', 'INC49193956', 'INC45777376', 'INC46498939']",,,7d57e7a1-8e37-432d-8248-8ea5dd6cf278,
20,2023-02-16 09:42:13,view-incident-results,6644dfbb-2024-4e39-abce-58b18b31b743,INC41383330,,,"['INC35108702', 'INC40569665', 'INC32910330', 'INC38414386', 'INC42004570']",,,7d57e7a1-8e37-432d-8248-8ea5dd6cf278,
21,2023-02-19 11:28:48,view-incident-results,481358af-9242-44d7-ba8a-a89d32441eca,INC44915742,,,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",,,bdf59795-18ba-497d-93c0-82f3a64aae98,
22,2023-02-19 11:29:05,view-similar-incident,0d059dc9-eb39-46f3-a6d4-1ca5aa79718d,INC44915742,,INC47326410,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",3.0,,bdf59795-18ba-497d-93c0-82f3a64aae98,
23,2023-02-19 11:29:20,view-incident-results,791fb6be-d47a-4272-8578-652ac9c9baad,INC44915742,,,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",,,bdf59795-18ba-497d-93c0-82f3a64aae98,
24,2023-02-19 11:29:48,view-similar-incident,65337a75-6cb6-40b0-a894-cfed24684dc6,INC44915742,,INC38462462,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",2.0,,bdf59795-18ba-497d-93c0-82f3a64aae98,
25,2023-02-19 11:30:13,dislike,900167a7-39d0-4d1a-a3e3-3c5accadb315,INC44915742,,INC38462462,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",2.0,,bdf59795-18ba-497d-93c0-82f3a64aae98,
26,2023-02-19 11:30:16,dislike,a2a1e232-9c66-4add-8cf3-56a749c749dc,INC44915742,,INC38462462,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",2.0,,bdf59795-18ba-497d-93c0-82f3a64aae98,
27,2023-02-19 11:30:18,like,9cbb1a31-67d5-42ed-9d18-85e0cf76a332,INC44915742,,INC38462462,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",2.0,,bdf59795-18ba-497d-93c0-82f3a64aae98,
28,2023-02-19 15:04:29,view-incident-results,2dec8748-ba0d-4ccc-aaf6-012df33d0fdb,INC48997284,,,"['INC48900053', 'INC39323947', 'INC37981142', 'INC46547820', 'INC47988170']",,,fa6e792a-966e-452e-aa30-923dde30d401,
29,2023-02-20 11:39:00,view-incident-results,bc005725-cce2-4c38-9776-87ff0f5bd58f,INC44915742,,,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",,,22179a5d-2968-4d1a-bd00-c5d429a2a872,
30,2023-02-20 11:39:11,view-similar-incident,ca5820ed-6139-431e-bfc5-d7b6d4605a50,INC44915742,,INC38462462,"['INC39611601', 'INC38462462', 'INC47326410', 'INC35684182', 'INC43245724']",2.0,,22179a5d-2968-4d1a-bd00-c5d429a2a872,
